filename,sha256,tags,Report_link
"dumped.exe.dll","be738fec40c2f6e6a818797c55819e3b01147b0a5e8dcb4c5e1238cffcef95cd","apt,exe,Lazarus","https://bazaar.abuse.ch/sample/be738fec40c2f6e6a818797c55819e3b01147b0a5e8dcb4c5e1238cffcef95cd/"
"usrgroup.dat.dll","00433ebf3b21c1c055d4ab8a599d3e84f03b328496236b54e56042cef2146b1c","apt,exe,Lazarus","https://bazaar.abuse.ch/sample/00433ebf3b21c1c055d4ab8a599d3e84f03b328496236b54e56042cef2146b1c/"
"edca71eda8650a2c591c37c780b6a0c5.dll","db846642c1c1872c6713a4194c4dcc8a8d272ff1bf0bcacc1ca1bdc3da6bc42b","apt,exe,LazarLoader,Lazarus","https://bazaar.abuse.ch/sample/db846642c1c1872c6713a4194c4dcc8a8d272ff1bf0bcacc1ca1bdc3da6bc42b/"
"PuTTY.exe","4b94270d77479578ce5d88659bc8e76024c8456578392a341971fbe006e01963","exe,Lazarus,Metasploit","https://bazaar.abuse.ch/sample/4b94270d77479578ce5d88659bc8e76024c8456578392a341971fbe006e01963/"
"ErrorCheck","de81e5246978775a45f3dbda43e2716aaa1b1c4399fe7d44f918fccecc4dd500","Lazarus,machO,RustBucket","https://bazaar.abuse.ch/sample/de81e5246978775a45f3dbda43e2716aaa1b1c4399fe7d44f918fccecc4dd500/"
"macshare","6f3e849ee0fe7a6453bd0408f0537fa894b17fc55bc9d1729ae035596f5c9220","Lazarus,machO,SpectralBlur","https://bazaar.abuse.ch/sample/6f3e849ee0fe7a6453bd0408f0537fa894b17fc55bc9d1729ae035596f5c9220/"
"config.js","40645f9052e03fed3a33a7e0f58bc2c263eeae02cbc855b9308511f5dc134797","BeaverTail,js,Lazarus","https://bazaar.abuse.ch/sample/40645f9052e03fed3a33a7e0f58bc2c263eeae02cbc855b9308511f5dc134797/"
"a.js","41a912d72ba9d5db95094be333f79b60cae943a2bd113e20cc171f86ebcb86cf","BeaverTail,js,Lazarus","https://bazaar.abuse.ch/sample/41a912d72ba9d5db95094be333f79b60cae943a2bd113e20cc171f86ebcb86cf/"
"App.test.js","4c465e6c8f43f7d13a1b887ff26d9a30f77cf65dd3b6f2e9f7fe36c8b6e83003","BeaverTail,js,Lazarus","https://bazaar.abuse.ch/sample/4c465e6c8f43f7d13a1b887ff26d9a30f77cf65dd3b6f2e9f7fe36c8b6e83003/"
"setupTests.js","2618a067e976f35f65aee95fecc9a8f52abea2fffd01e001f9865850435694cf","BeaverTail,js,Lazarus","https://bazaar.abuse.ch/sample/2618a067e976f35f65aee95fecc9a8f52abea2fffd01e001f9865850435694cf/"
"setupTests.js","1b21556fc8ecb9f8169ba0482de857b1f8a5cb120b2f1ac7729febe76f1eea83","BeaverTail,js,Lazarus","https://bazaar.abuse.ch/sample/1b21556fc8ecb9f8169ba0482de857b1f8a5cb120b2f1ac7729febe76f1eea83/"
"Shared with you ICO.zip.crx","1c905fa3a108f4c9bc0578882ce7af9682760b80af5232f130aa4f6463156b25","BeaverTail,Lazarus,zip","https://bazaar.abuse.ch/sample/1c905fa3a108f4c9bc0578882ce7af9682760b80af5232f130aa4f6463156b25/"
"error.js","1f9169492d18bffacebe951a22495d5dec81f35b0929da7783b5f094efef7b48","BeaverTail,js,Lazarus","https://bazaar.abuse.ch/sample/1f9169492d18bffacebe951a22495d5dec81f35b0929da7783b5f094efef7b48/"
"config.js","09a508e99b905330a3ebb7682c0dd5712e8eaa01a154b45a861ca12b6af29f86","BeaverTail,js,Lazarus","https://bazaar.abuse.ch/sample/09a508e99b905330a3ebb7682c0dd5712e8eaa01a154b45a861ca12b6af29f86/"
"server.js","0ce264819c7af1c485878ce795fd4727952157af7ffdea5f78bfd5b9d7806db1","BeaverTail,js,Lazarus","https://bazaar.abuse.ch/sample/0ce264819c7af1c485878ce795fd4727952157af7ffdea5f78bfd5b9d7806db1/"
"sandwich_bot (1).zip","104926c2c937b4597ea3493bccb7683ae812ef3c62c93a8fb008cfd64e05df59","BeaverTail,Lazarus,zip","https://bazaar.abuse.ch/sample/104926c2c937b4597ea3493bccb7683ae812ef3c62c93a8fb008cfd64e05df59/"
"server(1).js","1123fea9d3a52989ec34041f791045c216d19db69d71e62aa6b24a22d3278ef9","BeaverTail,js,Lazarus","https://bazaar.abuse.ch/sample/1123fea9d3a52989ec34041f791045c216d19db69d71e62aa6b24a22d3278ef9/"
"setup.js","121ca625f582add0527f888bb84b31920183e78c7476228091ff2199ec5d796b","BeaverTail,js,Lazarus","https://bazaar.abuse.ch/sample/121ca625f582add0527f888bb84b31920183e78c7476228091ff2199ec5d796b/"
"arb_front_v2.zip","12c0f44a931b9d0d74a2892565363bedfa13bec8e48ff5cd2352dec968f407ee","BeaverTail,Lazarus,zip","https://bazaar.abuse.ch/sample/12c0f44a931b9d0d74a2892565363bedfa13bec8e48ff5cd2352dec968f407ee/"
"sgrmbroker.zip","e615ea30dd37644526060689544c1a1d263b6bb77fe3084aa7883669c1fde12f","apt,DLRAT,exe,Lazarus","https://bazaar.abuse.ch/sample/e615ea30dd37644526060689544c1a1d263b6bb77fe3084aa7883669c1fde12f/"
"96d98c83daf368066efe3dd41a0dc622.exe","534f5612954db99c86baa67ef51a3ad88bc21735bce7bb591afa8a4317c35433","apt,exe,Lazarus,NineRAT","https://bazaar.abuse.ch/sample/534f5612954db99c86baa67ef51a3ad88bc21735bce7bb591afa8a4317c35433/"
"f8f7eced1411d76e2a0319151ecf80b7.exe","0e416e3cc1673d8fc3e7b2469e491c005152b9328515ea9bbd7cf96f1d23a99f","apt,BottomLoader,exe,Lazarus","https://bazaar.abuse.ch/sample/0e416e3cc1673d8fc3e7b2469e491c005152b9328515ea9bbd7cf96f1d23a99f/"
"HWMonitor.exe","000752074544950ae9020a35ccd77de277f1cd5026b4b9559279dc3b86965eee","apt,exe,HazyLoad,Lazarus","https://bazaar.abuse.ch/sample/000752074544950ae9020a35ccd77de277f1cd5026b4b9559279dc3b86965eee/"
"preinstall.db","01c5836655c6a4212676c78ec96c0ac6b778a411e61a2da1f545eba8f784e980","apt,exe,Lazarus","https://bazaar.abuse.ch/sample/01c5836655c6a4212676c78ec96c0ac6b778a411e61a2da1f545eba8f784e980/"
"Skill Assessment.iso","861a0b52b3676fb46f4d97699cd3dc02f2f8b5964633491f61a8b22ce9221b1d","HUN,iso,Lazarus,NukeSped","https://bazaar.abuse.ch/sample/861a0b52b3676fb46f4d97699cd3dc02f2f8b5964633491f61a8b22ce9221b1d/"
"test.pdf","c83c7b000a955f2b8cb92bb112ed606ffd9fbebbe3422f80d90d06b167f2f37b","apt,elf,Lazarus","https://bazaar.abuse.ch/sample/c83c7b000a955f2b8cb92bb112ed606ffd9fbebbe3422f80d90d06b167f2f37b/"
"GetSymbol.exe","0eedfd4ab367cc0b6ab804184c315cc9ce2df5062cb2158338818f5fa8c0108e","exe,Lazarus","https://bazaar.abuse.ch/sample/0eedfd4ab367cc0b6ab804184c315cc9ce2df5062cb2158338818f5fa8c0108e/"
"GetSymbol.exe","50869d2a713acf406e160d6cde3b442fafe7cfe1221f936f3f28c4b9650a66e9","exe,Lazarus","https://bazaar.abuse.ch/sample/50869d2a713acf406e160d6cde3b442fafe7cfe1221f936f3f28c4b9650a66e9/"
"GetSymbol.exe","2ee435bdafacfd7c5a9ea7e5f95be9796c4d9f18643ae04dca4510448214c03c","exe,Lazarus","https://bazaar.abuse.ch/sample/2ee435bdafacfd7c5a9ea7e5f95be9796c4d9f18643ae04dca4510448214c03c/"
"GetSymbol.exe","5977442321a693717950365446880058cc2585485ea582daa515719c1c21c5bd","exe,Lazarus","https://bazaar.abuse.ch/sample/5977442321a693717950365446880058cc2585485ea582daa515719c1c21c5bd/"
"Amazon Workspaces.exe","42f76f37742103bd599a68ef508b515efeb9e9ffddbfdcc43eb552b70b2440e9","exe,Lazarus","https://bazaar.abuse.ch/sample/42f76f37742103bd599a68ef508b515efeb9e9ffddbfdcc43eb552b70b2440e9/"
"질문지.doc","5b81f8f1208d2dfccb4dd6946102b61ad8f220c7b1c0a80f7be3ca23e6e59b3e","apt,BlueNoroff,doc,Lazarus","https://bazaar.abuse.ch/sample/5b81f8f1208d2dfccb4dd6946102b61ad8f220c7b1c0a80f7be3ca23e6e59b3e/"
"923f0f8a50fd980789625fa96abff0707a233e75ef83c31b863781d216d743a1.vhd","923f0f8a50fd980789625fa96abff0707a233e75ef83c31b863781d216d743a1","Lazarus,vhd","https://bazaar.abuse.ch/sample/923f0f8a50fd980789625fa96abff0707a233e75ef83c31b863781d216d743a1/"
"32f4b7b56845b1c68dc066389ec709d48835150e6f8781cb938836ea381b88a3.vhd","32f4b7b56845b1c68dc066389ec709d48835150e6f8781cb938836ea381b88a3","Lazarus,vhd","https://bazaar.abuse.ch/sample/32f4b7b56845b1c68dc066389ec709d48835150e6f8781cb938836ea381b88a3/"
